Rank,Name,Course,Category
155,Jawaharlal Nehru Medical College  AMU ALIGARH ALIGARH MUSLIM UNIVERSITY ,MBBS,Open
156,Azad Medical College  New Delhi 2 Bahadur Shah Zafar Marg,MBBS,Open
157,MEDICAL COLLEGE AND HOSPITAL  CHANDIGAR GOVERNMENT,MBBS,Open
158,AIIMS  Bhubaneswar AT - Sijua  POST - DUMUDUMA  BHUBANESWAR-751019 ,MBBS,Open
159,Azad Medical College  New Delhi 2 Bahadur Shah Zafar Marg,MBBS,Open
160,AIIMS  Bhubaneswar AT - Sijua  POST - DUMUDUMA  BHUBANESWAR-751019 ,MBBS,Open
161,AIIMS  Bhubaneswar AT - Sijua  POST - DUMUDUMA  BHUBANESWAR-751019 ,MBBS,Open
162,AIIMS  New Delhi AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI,MBBS,OBC
163,JIPMER PUDUCHERRY Dhanvantari Nagar Gorimedu Puducherry  Puducherry  605006,MBBS,Open
164,AIIMS  Jodhpur BASNI PHASE - II  JODHPUR-342005  Rajasthan  342005,MBBS,Open
165,JIPMER PUDUCHERRY Dhanvantari Nagar Gorimedu Puducherry  Puducherry  605006,MBBS,Open
166,Vardhman Mahavir Medical College and Safdarjung Hospital New Delhi ,MBBS,Open
167,AIIMS  New Delhi AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI,MBBS,OBC
168,JIPMER PUDUCHERRY Dhanvantari Nagar Gorimedu Puducherry  Puducherry  605006,MBBS,Open
169,JIPMER PUDUCHERRY Dhanvantari Nagar Gorimedu Puducherry  Puducherry  605006,MBBS,Open
170,Bihari Vajpayee Institute of Medical Sciences & DR RML HOSPITAL  NEW,MBBS,Open
171,JIPMER PUDUCHERRY Dhanvantari Nagar Gorimedu Puducherry  Puducherry  605006,MBBS,Open
172,JIPMER PUDUCHERRY Dhanvantari Nagar Gorimedu Puducherry  Puducherry  605006,MBBS,Open
173,AIIMS-Bhopal  SAKET NAGAR BHOPAL  Madhya Pradesh  462020,MBBS,Open
174,AIIMS  Bhubaneswar AT - Sijua  POST - DUMUDUMA  BHUBANESWAR-751019 ,MBBS,Open
175,JIPMER PUDUCHERRY Dhanvantari Nagar Gorimedu Puducherry  Puducherry  605006,MBBS,Open
176,College of Medical Sciences  New Delhi Dilshad Garden  Delhi (NCT)  110095,MBBS,Open
177,AIIMS  New Delhi AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI,MBBS,OBC
178,Bihari Vajpayee Institute of Medical Sciences & DR RML HOSPITAL  NEW,MBBS,Open
179,COLLEGE  BARODA Government Medical College Baroda  Anandpura ,MBBS,Open
180,JIPMER PUDUCHERRY Dhanvantari Nagar Gorimedu Puducherry  Puducherry  605006,MBBS,Open
181,AIIMS  Bhubaneswar AT - Sijua  POST - DUMUDUMA  BHUBANESWAR-751019 ,MBBS,Open
182,AIIMS  New Delhi AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI,MBBS,OBC
183,Azad Medical College  New Delhi 2 Bahadur Shah Zafar Marg,MBBS,Open
184,INST.OF MED.SCIENCES  BHU VARANASI Institute of Medical Sciences  Banaras,MBBS,Open
185,Bihari Vajpayee Institute of Medical Sciences & DR RML HOSPITAL  NEW,MBBS,Open
186,Azad Medical College  New Delhi 2 Bahadur Shah Zafar Marg,MBBS,Open
187,AIIMS  New Delhi AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI,MBBS,EWS
188,Azad Medical College  New Delhi 2 Bahadur Shah Zafar Marg,MBBS,Open
189,AIIMS  New Delhi AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI,MBBS,ST
190,G.S. MEDICAL COLLEGE  MUMBAI ACHARYA DONDE MARG PAREL,MBBS,Open
191,AIIMS  Bhubaneswar AT - Sijua  POST - DUMUDUMA  BHUBANESWAR-751019 ,MBBS,Open
192,AIIMS  New Delhi AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI,MBBS,OBC
193,AIIMS  Bhubaneswar AT - Sijua  POST - DUMUDUMA  BHUBANESWAR-751019 ,MBBS,Open
194,G.S. MEDICAL COLLEGE  MUMBAI ACHARYA DONDE MARG PAREL,MBBS,Open
195,AIIMS  New Delhi AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI,MBBS,OBC
196,College of Medical Sciences  New Delhi Dilshad Garden  Delhi (NCT)  110095,MBBS,Open
197,Azad Medical College  New Delhi 2 Bahadur Shah Zafar Marg,MBBS,Open
198,AIIMS  Jodhpur BASNI PHASE - II  JODHPUR-342005  Rajasthan  342005,MBBS,Open
199,JIPMER PUDUCHERRY Dhanvantari Nagar Gorimedu Puducherry  Puducherry  605006,MBBS,Open
200,Azad Medical College  New Delhi 2 Bahadur Shah Zafar Marg,MBBS,Open
201,AIIMS  Jodhpur BASNI PHASE - II  JODHPUR-342005  Rajasthan  342005,MBBS,Open
202,Azad Medical College  New Delhi 2 Bahadur Shah Zafar Marg,MBBS,Open
203,Hardinge Medical College  New Delhi Lady Hardinge Medical College  Shaheed,MBBS,Open
204,Hardinge Medical College  New Delhi Lady Hardinge Medical College  Shaheed,MBBS,Open
205,AIIMS  Bhubaneswar AT - Sijua  POST - DUMUDUMA  BHUBANESWAR-751019 ,MBBS,Open
206,AIIMS  New Delhi AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI,MBBS,OBC
207,AIIMS  New Delhi AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI,MBBS,OBC
208,Azad Medical College  New Delhi 2 Bahadur Shah Zafar Marg,MBBS,Open
209,AIIMS  Nagpur PLOT NO 2 SECTOR 20 MIHAN NAGPUR  Maharashtra  441108,MBBS,Open
210,JIPMER PUDUCHERRY Dhanvantari Nagar Gorimedu Puducherry  Puducherry  605006,MBBS,Open
211,AIIMS  New Delhi AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI,MBBS,EWS
212,JIPMER PUDUCHERRY Dhanvantari Nagar Gorimedu Puducherry  Puducherry  605006,MBBS,Open
213,AIIMS  New Delhi AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI,MBBS,EWS
214,COLLEGE THIRUVANANTHAPURAM OFFICE OF THE,MBBS,Open
215,AIIMS  New Delhi AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI,MBBS,OBC
216,AIIMS  New Delhi AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI,MBBS,OBC
217,AIIMS  Jodhpur BASNI PHASE - II  JODHPUR-342005  Rajasthan  342005,MBBS,Open
